,store_id,item_id,wm_yr_wk,sell_price
4691067,TX_3,FOODS_3_333,11427,1.98
5377026,WI_1,FOODS_3_405,11345,3.98
960407,CA_2,HOUSEHOLD_2_075,11240,1.87
2985811,TX_1,HOUSEHOLD_2_133,11127,4.97
3760850,TX_2,HOUSEHOLD_2_445,11242,4.97
5535423,WI_2,HOBBIES_1_308,11440,10.98
5143842,WI_1,HOUSEHOLD_2_416,11407,3.24
3836984,TX_2,FOODS_2_026,11229,2.28
6491646,WI_3,HOUSEHOLD_2_429,11423,5.94
4901360,WI_1,HOBBIES_2_017,11535,0.5
401543,CA_1,FOODS_1_137,11541,2.0
5363890,WI_1,FOODS_3_344,11523,2.0
1325542,CA_2,FOODS_3_783,11136,5.48
6601328,WI_3,FOODS_2_161,11451,7.47
5479245,WI_2,HOBBIES_1_053,11615,3.97
3091248,TX_1,FOODS_1_058,11450,1.96
1460356,CA_3,HOBBIES_2_129,11343,0.23
1052579,CA_2,HOUSEHOLD_2_464,11114,2.88
3814202,TX_2,FOODS_1_149,11449,0.98
4351371,TX_3,HOUSEHOLD_1_521,11108,0.97
2098592,CA_4,HOBBIES_1_321,11540,6.68
5278645,WI_1,FOODS_2_325,11505,1.25
4529548,TX_3,FOODS_2_001,11340,2.0
1356692,CA_3,HOBBIES_1_089,11602,7.97
3208526,TX_1,FOODS_2_343,11420,3.97
5123626,WI_1,HOUSEHOLD_2_328,11401,6.97
2626342,CA_4,FOODS_3_455,11512,1.98
1204732,CA_2,FOODS_3_217,11323,2.98
4909888,WI_1,HOBBIES_2_057,11319,1.97
1698020,CA_3,HOUSEHOLD_2_507,11212,6.97
2562509,CA_4,FOODS_3_175,11537,7.48
6373432,WI_3,HOUSEHOLD_1_459,11339,0.98
1209558,CA_2,FOODS_3_238,11610,3.27
6486103,WI_3,HOUSEHOLD_2_406,11618,12.46
6048754,WI_2,FOODS_3_391,11340,2.78
2748683,TX_1,HOBBIES_1_177,11513,4.24
6639795,WI_3,FOODS_2_328,11501,4.42
2334551,CA_4,HOUSEHOLD_2_293,11316,6.97
274869,CA_1,HOUSEHOLD_2_120,11541,7.94
192479,CA_1,HOUSEHOLD_1_289,11536,5.22
828576,CA_2,HOUSEHOLD_1_004,11509,2.36
6037237,WI_2,FOODS_3_337,11504,3.98
3401994,TX_1,FOODS_3_799,11505,2.18
6371465,WI_3,HOUSEHOLD_1_448,11501,0.98
5226239,WI_1,FOODS_2_032,11328,2.18
3090974,TX_1,FOODS_1_057,11411,2.48
854450,CA_2,HOUSEHOLD_1_125,11543,5.72
299517,CA_1,HOUSEHOLD_2_227,11330,4.0
4527363,TX_3,FOODS_1_212,11326,6.28
149106,CA_1,HOUSEHOLD_1_088,11413,5.97
2747433,TX_1,HOBBIES_1_172,11419,2.98
1106914,CA_2,FOODS_1_177,11301,8.48
3978770,TX_2,FOODS_3_248,11444,1.98
3687704,TX_2,HOUSEHOLD_2_137,11530,2.94
2522464,CA_4,FOODS_2_388,11548,2.98
3249923,TX_1,FOODS_3_131,11143,1.0
2096774,CA_4,HOBBIES_1_314,11409,3.97
3159172,TX_1,FOODS_2_129,11223,9.42
5715840,WI_2,HOUSEHOLD_2_022,11512,5.64
2575301,CA_4,FOODS_3_231,11242,4.98
5028063,WI_1,HOUSEHOLD_1_458,11248,2.48
4553648,TX_3,FOODS_2_111,11332,5.98
4314593,TX_3,HOUSEHOLD_1_351,11316,0.98
5059083,WI_1,HOUSEHOLD_2_054,11424,4.87
2435780,CA_4,FOODS_1_218,11543,0.98
4048102,TX_2,FOODS_3_550,11304,2.98
5135409,WI_1,HOUSEHOLD_2_378,11504,6.98
3729749,TX_2,HOUSEHOLD_2_314,11420,1.97
2291597,CA_4,HOUSEHOLD_2_111,11115,6.47
6498235,WI_3,HOUSEHOLD_2_455,11502,7.74
190399,CA_1,HOUSEHOLD_1_279,11526,0.97
4186370,TX_3,HOBBIES_1_341,11348,0.46
92998,CA_1,HOBBIES_1_410,11336,27.97
6250057,WI_3,HOBBIES_2_038,11541,0.97
522333,CA_1,FOODS_3_051,11418,1.98
3485340,TX_2,HOBBIES_1_338,11321,8.62
218759,CA_1,HOUSEHOLD_1_412,11418,17.97
4472051,TX_3,HOUSEHOLD_2_497,11226,5.47
379751,CA_1,FOODS_1_045,11530,1.78
5741509,WI_2,HOUSEHOLD_2_134,11148,5.94
